[2022-01-08T16:57:32.530Z] info Ruta no encontrada.
[2022-01-08T16:59:14.114Z] info Ruta no encontrada.
[2022-01-08T17:07:14.296Z] info Ruta no encontrada.
[2022-01-08T17:21:17.585Z] info Ruta no encontrada.
[2022-01-08T17:25:13.710Z] info Ruta no encontrada.
[2022-01-08T17:27:26.498Z] info Ruta no encontrada.
[2022-01-08T17:27:26.650Z] info Ruta no encontrada.
[2022-01-08T17:27:45.996Z] info Ruta no encontrada.
[2022-01-08T17:29:52.933Z] info Ruta no encontrada.
[2022-01-08T17:31:59.795Z] info Ruta no encontrada.
[2022-01-08T17:32:24.111Z] info Ruta no encontrada.
[2022-01-08T17:32:46.322Z] info Ruta no encontrada.
[2022-01-08T17:32:57.452Z] info Ruta no encontrada.
[2022-01-08T17:33:20.880Z] info Ruta no encontrada.
[2022-01-08T17:34:08.167Z] info Ruta no encontrada.
[2022-01-08T17:34:48.484Z] info Ruta no encontrada.
[2022-01-08T17:35:18.313Z] info Ruta no encontrada.
[2022-01-08T17:38:45.425Z] info Ruta no encontrada.
[2022-01-08T17:41:26.123Z] info [object Object]
[2022-01-23T23:51:20.892Z] info Ruta no encontrada.
[2022-01-23T23:51:57.339Z] info Ruta no encontrada.
[2022-01-25T01:39:47.973Z] info Ruta no encontrada.
[2022-01-25T01:40:59.098Z] info Ruta no encontrada.
[2022-11-02T23:14:00.865Z] info Ruta no encontrada.
[2022-11-02T23:14:10.807Z] info Ruta no encontrada.
[2022-11-02T23:16:32.190Z] info Ruta no encontrada.
[2022-11-02T23:21:23.185Z] info Ruta no encontrada.
[2022-11-02T23:21:56.892Z] info Ruta no encontrada.
[2022-11-02T23:28:50.870Z] info Ruta no encontrada.
[2022-11-02T23:28:55.737Z] info Ruta no encontrada.
[2022-11-03T19:30:53.022Z] info Ruta no encontrada.
[2022-11-03T20:32:48.276Z] info Ruta no encontrada.
[2022-11-03T20:36:17.482Z] info Ruta no encontrada.
[2022-12-14T20:31:10.390Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:31:10.417Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:31:10.436Z] info Configuracion - getExamen Terminado
[2022-12-14T20:33:24.159Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:33:24.179Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:33:24.186Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:33:24.205Z] info Configuracion - getExamen Terminado
[2022-12-14T20:34:40.713Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:34:40.726Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:34:40.767Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:34:40.777Z] info Configuracion - getExamen Terminado
[2022-12-14T20:36:22.361Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:36:22.367Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:36:22.399Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:36:22.409Z] info Configuracion - getExamen Terminado
[2022-12-14T20:37:00.953Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:37:00.960Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:37:00.976Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:37:00.979Z] info Configuracion - getExamen Terminado
[2022-12-14T20:39:12.570Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:39:12.577Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:39:12.585Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:39:12.608Z] info Configuracion - getExamen Terminado
[2022-12-14T20:40:49.149Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:40:49.151Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:40:49.176Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:40:49.183Z] info Configuracion - getExamen Terminado
[2022-12-14T20:42:36.685Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:42:36.688Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:42:36.712Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:42:36.718Z] info Configuracion - getExamen Terminado
[2022-12-14T20:45:30.723Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:45:30.727Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:45:30.743Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:45:30.787Z] info Configuracion - getExamen Terminado
[2022-12-14T20:47:42.542Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:47:42.549Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:47:42.552Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:47:42.562Z] info Configuracion - getExamen Terminado
[2022-12-14T20:53:17.260Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:53:17.276Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:53:17.294Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:53:17.296Z] info Configuracion - getExamen Terminado
[2022-12-14T20:54:25.300Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:54:25.307Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:54:25.331Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:54:25.341Z] info Configuracion - getExamen Terminado
[2022-12-14T23:24:47.828Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T23:24:47.835Z] info Configuracion - getExamen Iniciando
[2022-12-14T23:24:47.871Z] info Configuracion - getMedicamento Terminado
[2022-12-14T23:24:47.888Z] info Configuracion - getExamen Terminado
[2022-12-14T23:29:00.231Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T23:29:00.235Z] info Configuracion - getExamen Iniciando
[2022-12-14T23:29:00.247Z] info Configuracion - getExamen Terminado
[2022-12-14T23:29:00.249Z] info Configuracion - getMedicamento Terminado
[2022-12-14T23:30:00.005Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T23:30:00.009Z] info Configuracion - getExamen Iniciando
[2022-12-14T23:30:00.017Z] info Configuracion - getMedicamento Terminado
[2022-12-14T23:30:00.030Z] info Configuracion - getExamen Terminado
[2022-12-14T23:49:12.803Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T23:49:12.820Z] info Configuracion - getMedicamento Terminado
[2022-12-14T23:49:12.834Z] info Configuracion - getExamen Iniciando
[2022-12-14T23:49:12.841Z] info Configuracion - getExamen Terminado
[2022-12-15T00:11:42.410Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:11:42.413Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:11:42.421Z] info Configuracion - getExamen Terminado
[2022-12-15T00:11:42.426Z] info Configuracion - getMedicamento Terminado
[2022-12-15T00:13:37.083Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:13:37.085Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:13:37.097Z] info Configuracion - getExamen Terminado
[2022-12-15T00:13:37.098Z] info Configuracion - getMedicamento Terminado
[2022-12-15T00:18:09.108Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:18:09.121Z] info Configuracion - getMedicamento Terminado
[2022-12-15T00:18:09.123Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:18:09.125Z] info Configuracion - getExamen Terminado
[2022-12-15T00:20:37.442Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:20:37.444Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:20:37.454Z] info Configuracion - getMedicamento Terminado
[2022-12-15T00:20:37.459Z] info Configuracion - getExamen Terminado
[2022-12-15T00:53:35.821Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:53:35.825Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:53:35.835Z] info Configuracion - getExamen Terminado
[2022-12-15T00:53:35.838Z] info Configuracion - getMedicamento Terminado
[2022-12-15T00:54:55.760Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T00:54:55.762Z] info Configuracion - getExamen Iniciando
[2022-12-15T00:54:55.770Z] info Configuracion - getExamen Terminado
[2022-12-15T00:54:55.775Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:05:56.521Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:05:56.522Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:05:56.535Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:05:56.540Z] info Configuracion - getExamen Terminado
[2022-12-15T01:08:11.958Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:08:11.973Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:08:11.980Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:08:11.984Z] info Configuracion - getExamen Terminado
[2022-12-15T01:10:39.036Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:10:39.040Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:10:39.053Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:10:39.055Z] info Configuracion - getExamen Terminado
[2022-12-15T01:11:39.309Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:11:39.312Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:11:39.320Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:11:39.326Z] info Configuracion - getExamen Terminado
[2022-12-15T01:12:10.311Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:12:10.318Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:12:10.326Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:12:10.330Z] info Configuracion - getExamen Terminado
[2022-12-15T01:13:20.655Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:13:20.659Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:13:20.666Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:13:20.672Z] info Configuracion - getExamen Terminado
[2022-12-15T01:14:51.786Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:14:51.797Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:14:51.801Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:14:51.804Z] info Configuracion - getExamen Terminado
[2022-12-15T01:15:27.508Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:15:27.510Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:15:27.522Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:15:27.528Z] info Configuracion - getExamen Terminado
[2022-12-15T01:16:33.123Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:16:33.129Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:16:33.147Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:16:33.159Z] info Configuracion - getExamen Terminado
[2022-12-15T01:19:00.711Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:19:00.720Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:19:00.731Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:19:00.734Z] info Configuracion - getExamen Terminado
[2022-12-15T01:22:18.860Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:22:18.861Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:22:18.871Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:22:18.873Z] info Configuracion - getExamen Terminado
[2022-12-15T01:25:58.298Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:25:58.308Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:25:58.311Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:25:58.321Z] info Configuracion - getExamen Terminado
[2022-12-15T01:27:47.752Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T01:27:47.763Z] info Configuracion - getMedicamento Terminado
[2022-12-15T01:27:47.768Z] info Configuracion - getExamen Iniciando
[2022-12-15T01:27:47.771Z] info Configuracion - getExamen Terminado
[2022-12-15T13:41:04.418Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T13:41:04.426Z] info Configuracion - getExamen Iniciando
[2022-12-15T13:41:04.449Z] info Configuracion - getMedicamento Terminado
[2022-12-15T13:41:04.461Z] info Configuracion - getExamen Terminado
[2022-12-15T13:43:01.351Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T13:43:01.362Z] info Configuracion - getMedicamento Terminado
[2022-12-15T13:43:01.385Z] info Configuracion - getExamen Iniciando
[2022-12-15T13:43:01.394Z] info Configuracion - getExamen Terminado
[2022-12-15T13:48:21.240Z] info Configuracion - getMedicamento Iniciando
[2022-12-15T13:48:21.243Z] info Configuracion - getExamen Iniciando
[2022-12-15T13:48:21.260Z] info Configuracion - getMedicamento Terminado
[2022-12-15T13:48:21.268Z] info Configuracion - getExamen Terminado
[2022-12-18T22:15:48.410Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:15:48.418Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:15:48.443Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:15:48.453Z] info Configuracion - getExamen Terminado
[2022-12-18T22:18:10.529Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:18:10.533Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:18:10.552Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:18:10.555Z] info Configuracion - getExamen Terminado
[2022-12-18T22:20:37.700Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:20:37.716Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:20:37.720Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:20:37.726Z] info Configuracion - getExamen Terminado
[2022-12-18T22:23:55.097Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:23:55.099Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:23:55.114Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:23:55.116Z] info Configuracion - getExamen Terminado
[2022-12-18T22:29:38.862Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:29:38.870Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:29:38.887Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:29:38.891Z] info Configuracion - getExamen Terminado
[2022-12-18T22:43:45.750Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:43:45.765Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:43:45.767Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:43:45.779Z] info Configuracion - getExamen Terminado
[2022-12-18T22:52:20.241Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:52:20.248Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:52:20.256Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:52:20.270Z] info Configuracion - getExamen Terminado
[2022-12-18T22:53:48.197Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:53:48.204Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:53:48.217Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:53:48.222Z] info Configuracion - getExamen Terminado
[2022-12-18T22:54:30.781Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:54:30.783Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:54:30.794Z] info Configuracion - getExamen Terminado
[2022-12-18T22:54:30.796Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:55:58.635Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:55:58.636Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:55:58.644Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:55:58.649Z] info Configuracion - getExamen Terminado
[2022-12-18T22:56:43.132Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T22:56:43.134Z] info Configuracion - getExamen Iniciando
[2022-12-18T22:56:43.145Z] info Configuracion - getMedicamento Terminado
[2022-12-18T22:56:43.146Z] info Configuracion - getExamen Terminado
[2022-12-18T23:06:33.697Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:06:33.709Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:06:33.713Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:06:33.716Z] info Configuracion - getExamen Terminado
[2022-12-18T23:06:51.015Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:06:51.023Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:06:51.027Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:06:51.042Z] info Configuracion - getExamen Terminado
[2022-12-18T23:07:13.020Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:07:13.022Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:07:13.030Z] info Configuracion - getExamen Terminado
[2022-12-18T23:07:13.034Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:07:34.404Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:07:34.407Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:07:34.414Z] info Configuracion - getExamen Terminado
[2022-12-18T23:07:34.418Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:24:59.832Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:24:59.837Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:24:59.844Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:24:59.851Z] info Configuracion - getExamen Terminado
[2022-12-18T23:25:47.595Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:25:47.597Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:25:47.606Z] info Configuracion - getExamen Terminado
[2022-12-18T23:25:47.611Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:26:26.781Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:26:26.784Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:26:26.792Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:26:26.797Z] info Configuracion - getExamen Terminado
[2022-12-18T23:28:14.180Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:28:14.182Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:28:14.192Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:28:14.195Z] info Configuracion - getExamen Terminado
[2022-12-18T23:31:07.531Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:31:07.532Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:31:07.540Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:31:07.544Z] info Configuracion - getExamen Terminado
[2022-12-18T23:31:58.655Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:31:58.659Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:31:58.671Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:31:58.673Z] info Configuracion - getExamen Terminado
[2022-12-18T23:35:05.379Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:35:05.387Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:35:05.391Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:35:05.407Z] info Configuracion - getExamen Terminado
[2022-12-18T23:36:18.926Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:36:18.928Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:36:18.937Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:36:18.948Z] info Configuracion - getExamen Terminado
[2022-12-18T23:39:14.226Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:39:14.227Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:39:14.237Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:39:14.244Z] info Configuracion - getExamen Terminado
[2022-12-18T23:41:57.921Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:41:57.925Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:41:57.936Z] info Configuracion - getExamen Terminado
[2022-12-18T23:41:57.940Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:49:08.566Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:49:08.570Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:49:08.577Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:49:08.583Z] info Configuracion - getExamen Terminado
[2022-12-18T23:50:47.650Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:50:47.655Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:50:47.662Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:50:47.666Z] info Configuracion - getExamen Terminado
[2022-12-18T23:51:10.693Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:51:10.702Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:51:10.706Z] info Configuracion - getMedicamento Terminado
[2022-12-18T23:51:10.716Z] info Configuracion - getExamen Terminado
[2022-12-18T23:52:50.323Z] info Configuracion - getMedicamento Iniciando
[2022-12-18T23:52:50.327Z] info Configuracion - getExamen Iniciando
[2022-12-18T23:52:50.348Z] info Configuracion - getExamen Terminado
[2022-12-18T23:52:50.350Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:05:31.363Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:05:31.375Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:05:31.381Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:05:31.395Z] info Configuracion - getExamen Terminado
[2022-12-19T00:07:30.292Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:07:30.297Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:07:30.306Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:07:30.314Z] info Configuracion - getExamen Terminado
[2022-12-19T00:08:23.520Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:08:23.521Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:08:23.529Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:08:23.534Z] info Configuracion - getExamen Terminado
[2022-12-19T00:09:08.145Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:09:08.148Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:09:08.157Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:09:08.162Z] info Configuracion - getExamen Terminado
[2022-12-19T00:32:45.831Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:32:45.832Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:32:45.843Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:32:45.848Z] info Configuracion - getExamen Terminado
[2022-12-19T00:33:08.033Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T00:33:08.041Z] info Configuracion - getExamen Iniciando
[2022-12-19T00:33:08.043Z] info Configuracion - getMedicamento Terminado
[2022-12-19T00:33:08.053Z] info Configuracion - getExamen Terminado
[2022-12-19T01:07:37.502Z] info Configuracion - getMedicamento Iniciando
[2022-12-19T01:07:37.506Z] info Configuracion - getExamen Iniciando
[2022-12-19T01:07:37.515Z] info Configuracion - getMedicamento Terminado
[2022-12-19T01:07:37.516Z] info Configuracion - getExamen Terminado
[2022-12-20T01:48:45.872Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T01:48:45.887Z] info Configuracion - getExamen Iniciando
[2022-12-20T01:48:45.914Z] info Configuracion - getExamen Terminado
[2022-12-20T01:48:45.921Z] info Configuracion - getMedicamento Terminado
[2022-12-20T01:53:06.859Z] info Configuracion - getMedicamento Iniciando
[2022-12-20T01:53:06.863Z] info Configuracion - getExamen Iniciando
[2022-12-20T01:53:06.878Z] info Configuracion - getExamen Terminado
[2022-12-20T01:53:06.896Z] info Configuracion - getMedicamento Terminado
[2022-12-20T01:55:40.275Z] info Configuracion - getMedicamento Iniciando
